,TP,TN,FP,FN,Class
442,20.0,1921.0,456.0,22.0,Chess
443,2.0,2039.0,338.0,40.0,Chess
444,14.0,914.0,1463.0,28.0,Chess
445,0,2335.0,42,42.0,Chess
446,35.0,713.0,1664.0,7.0,Chess
447,29.0,1717.0,660.0,13.0,Chess
448,36.0,613.0,1764.0,6.0,Chess
449,36.0,614.0,1763.0,6.0,Chess
450,35.0,645.0,1732.0,7.0,Chess
451,39.0,600.0,1777.0,3.0,Chess
452,34.0,645.0,1732.0,8.0,Chess
453,34.0,649.0,1728.0,8.0,Chess
454,36.0,991.0,1386.0,6.0,Chess
455,38.0,1058.0,1319.0,4.0,Chess
456,39.0,762.0,1615.0,3.0,Chess
457,38.0,956.0,1421.0,4.0,Chess
458,18.0,1950.0,427.0,24.0,Chess
459,37.0,932.0,1445.0,5.0,Chess
460,38.0,1029.0,1348.0,4.0,Chess
461,38.0,757.0,1620.0,4.0,Chess
462,34.0,647.0,1730.0,8.0,Chess
463,34.0,653.0,1724.0,8.0,Chess
464,39.0,578.0,1799.0,3.0,Chess
465,3.0,2312.0,84.0,20.0,City
466,17.0,762.0,1634.0,6.0,City
467,5.0,2138.0,258.0,18.0,City
468,5.0,2233.0,163.0,18.0,City
469,16.0,756.0,1640.0,7.0,City
470,16.0,845.0,1551.0,7.0,City
471,16.0,738.0,1658.0,7.0,City
472,18.0,804.0,1592.0,5.0,City
473,17.0,800.0,1596.0,6.0,City
474,17.0,816.0,1580.0,6.0,City
475,16.0,818.0,1578.0,7.0,City
476,17.0,723.0,1673.0,6.0,City
477,17.0,702.0,1694.0,6.0,City
478,16.0,919.0,1477.0,7.0,City
479,5.0,2093.0,303.0,18.0,City
480,12.0,1741.0,655.0,11.0,City
481,16.0,823.0,1573.0,7.0,City
482,16.0,758.0,1638.0,7.0,City
483,17.0,702.0,1694.0,6.0,City
484,16.0,940.0,1456.0,7.0,City
485,5.0,2233.0,163.0,18.0,City
486,16.0,845.0,1551.0,7.0,City
487,17.0,656.0,1740.0,6.0,City
488,8.0,2209.0,194.0,8.0,ClassicPiano
489,10.0,691.0,1712.0,6.0,ClassicPiano
490,3.0,1511.0,892.0,13.0,ClassicPiano
491,1.0,2393.0,10.0,15.0,ClassicPiano
492,10.0,1060.0,1343.0,6.0,ClassicPiano
493,9.0,2223.0,180.0,7.0,ClassicPiano
494,5.0,757.0,1646.0,11.0,ClassicPiano
495,2.0,2355.0,48.0,14.0,ClassicPiano
496,0,2402.0,1,16.0,ClassicPiano
497,9.0,1126.0,1277.0,7.0,ClassicPiano
498,7.0,839.0,1564.0,9.0,ClassicPiano
499,1.0,2395.0,8.0,15.0,ClassicPiano
500,5.0,2363.0,40.0,11.0,ClassicPiano
501,9.0,2239.0,164.0,7.0,ClassicPiano
502,7.0,2273.0,130.0,9.0,ClassicPiano
503,6.0,810.0,1593.0,10.0,ClassicPiano
504,19.0,756.0,1631.0,13.0,Computer
505,16.0,596.0,1791.0,16.0,Computer
506,14.0,2177.0,210.0,18.0,Computer
507,25.0,1092.0,1295.0,7.0,Computer
508,19.0,1318.0,1069.0,13.0,Computer
509,5.0,2357.0,30.0,27.0,Computer
510,17.0,566.0,1821.0,15.0,Computer
511,8.0,2349.0,38.0,24.0,Computer
512,18.0,1782.0,605.0,14.0,Computer
513,15.0,2240.0,147.0,17.0,Computer
514,11.0,1757.0,630.0,21.0,Computer
515,17.0,1887.0,500.0,15.0,Computer
516,3.0,2356.0,31.0,29.0,Computer
517,9.0,2285.0,102.0,23.0,Computer
518,15.0,1110.0,1277.0,17.0,Computer
519,19.0,562.0,1825.0,13.0,Computer
520,17.0,2242.0,145.0,15.0,Computer
521,18.0,589.0,1798.0,14.0,Computer
522,12.0,2181.0,206.0,20.0,Computer
523,25.0,1651.0,736.0,7.0,Computer
524,20.0,534.0,1853.0,12.0,Computer
525,19.0,1729.0,658.0,13.0,Computer
526,18.0,602.0,1785.0,14.0,Computer
527,7.0,2352.0,35.0,25.0,Computer
528,19.0,1251.0,1136.0,13.0,Computer
529,17.0,2243.0,144.0,15.0,Computer
530,25.0,1113.0,1274.0,7.0,Computer
531,22.0,1141.0,1246.0,10.0,Computer
532,18.0,2102.0,285.0,14.0,Computer
533,21.0,2019.0,368.0,11.0,Computer
534,13.0,2258.0,129.0,19.0,Computer
535,17.0,565.0,1822.0,15.0,Computer
536,7.0,2116.0,285.0,11.0,ComputerKeyboard
537,4.0,1703.0,698.0,14.0,ComputerKeyboard
538,0,2400.0,1,18.0,ComputerKeyboard
539,7.0,2358.0,43.0,11.0,ComputerKeyboard
540,2.0,2393.0,8.0,16.0,ComputerKeyboard
541,2.0,2393.0,8.0,16.0,ComputerKeyboard
542,6.0,2386.0,15.0,12.0,ComputerKeyboard
543,7.0,2310.0,91.0,11.0,ComputerKeyboard
544,0,2400.0,1,18.0,ComputerKeyboard
545,0,979.0,1422,18.0,ComputerKeyboard
546,1.0,2400.0,1.0,17.0,ComputerKeyboard
547,8.0,2271.0,130.0,10.0,ComputerKeyboard
548,2.0,2388.0,13.0,16.0,ComputerKeyboard
549,6.0,2371.0,30.0,12.0,ComputerKeyboard
550,0,2145.0,256,18.0,ComputerKeyboard
551,5.0,1839.0,562.0,13.0,ComputerKeyboard
552,3.0,2394.0,7.0,15.0,ComputerKeyboard
553,0,2400.0,1,18.0,ComputerKeyboard
554,9.0,2190.0,201.0,19.0,Cup
555,19.0,670.0,1721.0,9.0,Cup
556,24.0,1157.0,1234.0,4.0,Cup
557,11.0,2179.0,212.0,17.0,Cup
558,17.0,2059.0,332.0,11.0,Cup
559,18.0,708.0,1683.0,10.0,Cup
560,15.0,2176.0,215.0,13.0,Cup
561,19.0,697.0,1694.0,9.0,Cup
562,24.0,1664.0,727.0,4.0,Cup
563,19.0,627.0,1764.0,9.0,Cup
564,20.0,652.0,1739.0,8.0,Cup
565,22.0,802.0,1589.0,6.0,Cup
566,22.0,789.0,1602.0,6.0,Cup
567,16.0,669.0,1722.0,12.0,Cup
568,23.0,1784.0,607.0,5.0,Cup
569,20.0,548.0,1843.0,8.0,Cup
570,12.0,2166.0,225.0,16.0,Cup
571,25.0,1373.0,1018.0,3.0,Cup
572,19.0,727.0,1664.0,9.0,Cup
573,22.0,847.0,1544.0,6.0,Cup
574,24.0,1083.0,1308.0,4.0,Cup
575,20.0,550.0,1841.0,8.0,Cup
